,date,value
782,2015-01-01,6
1256,2015-01-02,3
584,2015-01-03,7
976,2015-01-04,4
669,2015-01-05,6
733,2015-01-06,6
1278,2015-01-07,2
1100,2015-01-08,4
68,2015-01-09,13
330,2015-01-10,9
1184,2015-01-11,3
777,2015-01-12,6
26,2015-01-13,16
174,2015-01-14,11
835,2015-01-15,5
300,2015-01-16,9
1147,2015-01-17,3
1096,2015-01-18,4
1268,2015-01-19,3
465,2015-01-20,8
858,2015-01-21,5
1429,2015-01-22,1
436,2015-01-23,8
115,2015-01-24,12
1227,2015-01-25,3
649,2015-01-26,6
555,2015-01-27,7
197,2015-01-28,10
597,2015-01-29,7
249,2015-01-30,10
863,2015-01-31,5
751,2015-02-01,6
364,2015-02-02,9
622,2015-02-03,7
56,2015-02-04,14
240,2015-02-05,10
719,2015-02-06,6
1232,2015-02-07,3
1401,2015-02-08,1
693,2015-02-09,6
277,2015-02-10,9
898,2015-02-11,5
899,2015-02-12,5
1084,2015-02-13,4
218,2015-02-14,10
1086,2015-02-15,4
1016,2015-02-16,4
571,2015-02-17,7
69,2015-02-18,13
766,2015-02-19,6
1258,2015-02-20,3
1041,2015-02-21,4
1054,2015-02-22,4
926,2015-02-23,5
234,2015-02-24,10
339,2015-02-25,9
168,2015-02-26,11
891,2015-02-27,5
851,2015-02-28,5
785,2015-03-01,6
476,2015-03-02,8
114,2015-03-03,12
553,2015-03-04,7
594,2015-03-05,7
450,2015-03-06,8
524,2015-03-07,7
1155,2015-03-08,3
1249,2015-03-09,3
151,2015-03-10,11
1034,2015-03-11,4
658,2015-03-12,6
585,2015-03-13,7
938,2015-03-14,5
1431,2015-03-15,1
868,2015-03-16,5
1042,2015-03-17,4
1338,2015-03-18,2
239,2015-03-19,10
360,2015-03-20,9
1179,2015-03-21,3
1403,2015-03-22,1
1022,2015-03-23,4
1072,2015-03-24,4
474,2015-03-25,8
679,2015-03-26,6
492,2015-03-27,8
279,2015-03-28,9
285,2015-03-29,9
894,2015-03-30,5
299,2015-03-31,9
24,2015-04-01,16
942,2015-04-02,5
1407,2015-04-03,1
870,2015-04-04,5
1339,2015-04-05,2
116,2015-04-06,12
467,2015-04-07,8
552,2015-04-08,7
1417,2015-04-09,1
839,2015-04-10,5
1146,2015-04-11,3
1388,2015-04-12,1
885,2015-04-13,5
301,2015-04-14,9
967,2015-04-15,4
319,2015-04-16,9
134,2015-04-17,12
1378,2015-04-18,1
1207,2015-04-19,3
855,2015-04-20,5
790,2015-04-21,6
76,2015-04-22,13
38,2015-04-23,15
357,2015-04-24,9
426,2015-04-25,8
646,2015-04-26,6
548,2015-04-27,7
510,2015-04-28,7
975,2015-04-29,4
1058,2015-04-30,4
289,2015-05-01,9
1143,2015-05-02,3
228,2015-05-03,10
774,2015-05-04,6
80,2015-05-05,13
220,2015-05-06,10
418,2015-05-07,8
1343,2015-05-08,2
468,2015-05-09,8
1180,2015-05-10,3
904,2015-05-11,5
1051,2015-05-12,4
414,2015-05-13,8
232,2015-05-14,10
