,Accident_Date,Year,time
0,2015-01-16,2015,12
1,2015-01-16,2015,12
2,2015-01-16,2015,17
3,2015-01-17,2015,9
4,2015-01-17,2015,13
5,2015-01-17,2015,13
6,2015-01-18,2015,16
7,2015-01-18,2015,14
8,2015-01-18,2015,14
9,2015-01-18,2015,17
10,2015-01-19,2015,13
11,2015-01-20,2015,8
12,2015-01-20,2015,8
13,2015-01-19,2015,17
14,2015-01-19,2015,18
15,2015-01-20,2015,16
16,2015-01-20,2015,16
17,2015-01-20,2015,16
18,2015-01-20,2015,17
19,2015-01-20,2015,17
20,2015-01-20,2015,18
21,2015-01-21,2015,8
22,2015-01-21,2015,8
23,2015-01-21,2015,20
24,2015-01-21,2015,8
25,2015-01-21,2015,8
26,2015-01-22,2015,14
27,2015-03-14,2015,0
28,2015-01-09,2015,18
29,2015-01-09,2015,18
30,2015-01-01,2015,0
31,2015-01-01,2015,0
32,2015-01-01,2015,0
33,2015-01-01,2015,10
34,2015-01-01,2015,11
35,2015-01-01,2015,17
36,2015-01-02,2015,12
37,2015-01-02,2015,15
38,2015-01-02,2015,22
39,2015-01-03,2015,4
40,2015-01-03,2015,11
41,2015-01-03,2015,12
42,2015-01-03,2015,12
43,2015-01-03,2015,12
44,2015-01-03,2015,12
45,2015-01-03,2015,12
46,2015-01-04,2015,12
47,2015-01-04,2015,14
48,2015-01-04,2015,18
49,2015-01-04,2015,18
50,2015-01-05,2015,7
51,2015-01-05,2015,9
52,2015-01-05,2015,15
53,2015-01-05,2015,16
54,2015-01-05,2015,17
55,2015-01-05,2015,16
56,2015-01-06,2015,14
57,2015-01-06,2015,14
58,2015-01-06,2015,17
59,2015-01-06,2015,17
60,2015-01-06,2015,23
61,2015-01-06,2015,23
62,2015-01-07,2015,17
63,2015-01-07,2015,15
64,2015-01-08,2015,11
65,2015-01-08,2015,14
66,2015-01-08,2015,16
67,2015-01-08,2015,17
68,2015-01-09,2015,6
69,2015-01-09,2015,7
70,2015-01-09,2015,11
71,2015-01-09,2015,15
72,2015-01-09,2015,15
73,2015-01-09,2015,20
74,2015-01-09,2015,20
75,2015-01-09,2015,20
76,2015-01-09,2015,20
77,2015-01-09,2015,15
78,2015-01-10,2015,8
79,2015-01-10,2015,10
80,2015-01-10,2015,11
81,2015-01-09,2015,18
82,2015-01-10,2015,15
83,2015-01-10,2015,15
84,2015-01-10,2015,15
85,2015-01-10,2015,16
86,2015-01-10,2015,21
87,2015-01-10,2015,21
88,2015-01-11,2015,18
89,2015-01-11,2015,18
90,2015-01-11,2015,18
91,2015-01-12,2015,7
92,2015-01-12,2015,9
93,2015-01-12,2015,9
94,2015-01-13,2015,9
95,2015-01-12,2015,13
96,2015-01-12,2015,15
97,2015-01-12,2015,17
98,2015-01-13,2015,8
99,2015-01-13,2015,9
100,2015-01-13,2015,11
101,2015-01-13,2015,15
102,2015-01-13,2015,16
